Status;phoneme_cyrillic;variant_avarme;variant_avarmeold;variant_scientific;variant_murtazali;variant_typing;variant_historical_1932;variant_azerbaijani;variant_umarilov;variant_turk;variant_said;variant_google;variant_forker;variant_claprot;variant_graham;variant_tsadasa;frequency;freq_wiki
✅;а;a;a;a;a;a;a;a;a;a;a;a;a;;;;27765;4280248
✅;и;i;i;i;i;i;i;i;i;i;i;i;i;;;;19141;1813722
✅;е;e;e;e;e;e;e;e;e;e;e;e;e;;;;10319;1393513
✅;р;r;r;r;r;r;r;r;r;r;r;r;r;;;;10182;1196271
✅;б;b;b;b;b;b;b;b;b;b;b;b;b;;;;9252;1255948
✅;у;u;u;u;u;u;u;u;u;u;u;u;u;;;;8309;1622659
✅;л;l;l;l;l;l;l;l;l;l;l;l;l;;;;7864;1596118
✅;н;n;n;n;n;n;n;n;n;n;n;n;n;;;;7487;1251837
✅;з;z;z;z;ʒ;z;z;z;z;z;z;z;z;;;;6897;461444
✅;о;o;o;o;o;o;o;o;o;o;o;o;o;;;;6591;971673
✅;д;d;d;d;d;d;d;d;d;d;d;d;d;;;;4289;883160
🟡;лъ;ļ;ļ;ł;ł;lh;ł;lh;l̬;tl;ł;ļ;ɬ;;;;3917;605442
🟡;лӀ;ł;;ľ;;;;;ł;tl;ⱡ;—;;;;;0;1613
✅;т;t;t;t;t;t;t;t;t;t;t;t;t;;;;3775;375824
✅;с;s;s;s;s;s;s;s;s;s;s;s;s;;;;3710;609938
✅;к;k;k;k;k;k;k;k;k;k;k;k;k;;;;3672;411250
✅;м;m;m;m;m;m;m;m;m;m;m;m;m;;;;3395;509530
✅;в;v;v;v;v;v;v;v;v;v;v;v;w;;;;3006;480489
✅;г;g;g;g;g;g;g;g;g;g;g;g;g;;;;2453;606446
🟡;х;x;x;x;x;x;x;x;x̌;x;x;x;χ;;;;2343;225220
🟡;къ;q;ꝗ;q';q;q';q;q';q̇;q;g̣;q;q;;;;2193;172349
🟡;гӀ;ġ;ⱨ;ʿ;ḩ;ghI;y;gh;ǥ;gh;ḥ;ⱨ;ʕ;;;;2151;299842
🟡;тӀ;ť;ƫ;t';ţ;t';t';t';ṭ;th;ṭ;ţ;t';;;;2134;222085
✅;ч;c;c;č;c;ch;c;ç;č;ç;č;c;č;;;;2079;130000
🟡;кӀ;ķ;ⱪ;k';Ķ;k';k';k';ḳ;kh;ḳ;ⱪ;k';;;;1993;228066
🟡;хъ;kh;ӿ;q;x;q;x̧;q;q;kx;q;x;q;;;;1901;168870
✅;я;ya;ja;ya;ya;ya;ja;ya;ya;ya;ya;ja;ja;;;;1884;378906
🟡;хӀ;ħ;ћ;ḥ;ħ;hI;ḩ;ḥ;ħ;xh;ħ;ħ;ħ;;;;1753;202750
✅;п;p;p;p;p;p;p;p;p;p;p;p;p;;;;1713;115526
🟡;гь;ğ;h;h;h;h;h;h;h;h;h;h;h;;;;1700;463514
🟡;чӀ;ć;ç;č';ç;ch';c';ç';ç;c;č̣;ç;č';;;;1528;140507
🟡;гъ;gh;ƣ;ǧ;ơ;gh;ƣ;ğ;ğ;ğ;ğ;ƣ;ʁ;;;;1403;76670
🟡;цӀ;ź;ⱬ;c';z̥;c';ç';c';ċ;tz;c̣;ⱬ;c';;;;1146;109970
✅;й;y;j;y;j;y;j;y;y;y;y;j;j;;;;1126;131233
✅;ц;ž;ts;c;z;c;ç;c;c;ts;c;ꞩ;c;;;;1014;211352
🟡;кь;kļ;ꝗ;ƚ';ŧ;lh';ꝗ;lh';ł̣;qh;ƛ;ꝗ;ƛ';;;;981;94576
✅;ж;j;ƶ;j;z;j;ƶ;j;ž;j;ž;ƶ;ž;;;;916;160952
🟡;хь;h;ҳ;x̂;ҳ;xh;ӿ;h';x;w;x̌;xj;x;;;;781;59170
🟡;щ;şç;ꞩ;šč;s;shch;şç;şç;şç;şş;š;şş;šː;;;;725;82303
🟡;ш;ş;ş;š;š;sh;ş;ş;š;ş;ş;ş;š;;;;664;74225
✅;ф;f;f;f;f;f;f;f;f;f;f;f;f;;;;435;25925
🟡;э;ê;'e;e;e;e;e;e;e;e;e;e;e;;;;229;25246
🟡;ё;ö;;;;;;;;yo;;—;ë;;;;96;474
✅;ю;yu;ju;yu;yu;yu;ju;yu;yu;yu;yu;ju;ju;;;;128;13177
✅;ъ;';';';';';';';';;;';ʔ;;;;26;4181
